question,sql
Who are all the employees in the Engineering department?,"SELECT ""t1"".""id"", ""t1"".""updated_at"", ""t1"".""full_name"", ""t1"".""nationality"", ""t1"".""department"", ""t1"".""is_manager"", ""t1"".""location"", ""t1"".""linkedin"", ""t1"".""twitter_x"", ""t1"".""facebook"", ""t1"".""email"", ""t1"".""is_active"", ""t1"".""reports_to_id"", ""t1"".""birth_date"", ""t1"".""client"" FROM ""employees"" AS ""t1"" WHERE (""t1"".""is_active"" AND (LOWER(""t1"".""department"") IN ('engineering')))"
How many managers do we have in our company?,"SELECT ""t1"".""is_manager"", COUNT(DISTINCT ""t1"".""id"") AS ""total"" FROM ""employees"" AS ""t1"" WHERE (""t1"".""is_active"" AND (""t1"".""is_manager"" = 1)) GROUP BY ""t1"".""is_manager"" ORDER BY COUNT(DISTINCT ""t1"".""id"") DESC"
Which employees are located in New York?,"SELECT ""t1"".""id"", ""t1"".""updated_at"", ""t1"".""full_name"", ""t1"".""nationality"", ""t1"".""department"", ""t1"".""is_manager"", ""t1"".""location"", ""t1"".""linkedin"", ""t1"".""twitter_x"", ""t1"".""facebook"", ""t1"".""email"", ""t1"".""is_active"", ""t1"".""reports_to_id"", ""t1"".""birth_date"", ""t1"".""client"" FROM ""employees"" AS ""t1"" WHERE (""t1"".""is_active"" AND (LOWER(""t1"".""location"") IN ('new york')))"
List all employees who report to Sarah Johnson.,"SELECT ""t1"".""id"", ""t1"".""updated_at"", ""t1"".""full_name"", ""t1"".""nationality"", ""t1"".""department"", ""t1"".""is_manager"", ""t1"".""location"", ""t1"".""linkedin"", ""t1"".""twitter_x"", ""t1"".""facebook"", ""t1"".""email"", ""t1"".""is_active"", ""t1"".""reports_to_id"", ""t1"".""birth_date"", ""t1"".""client"" FROM ""employees"" AS ""t1"" INNER JOIN ""employees"" AS ""t2"" ON (""t1"".""reports_to_id"" = ""t2"".""id"") WHERE ((""t1"".""is_active"" AND (""t2"".""full_name"" LIKE '%sarah%')) AND (""t2"".""full_name"" LIKE '%johnson%'))"
Who has their birthday coming up in the next month?,"SELECT ""t1"".""id"", ""t1"".""employee_id"", ""t1"".""policy_type"", ""t1"".""start_date"", ""t1"".""end_date"", ""t1"".""type"", ""t1"".""status"", ""t1"".""created_at"", ""t1"".""updated_at"", ""t2"".""id"", ""t2"".""updated_at"", ""t2"".""full_name"", ""t2"".""nationality"", ""t2"".""department"", ""t2"".""is_manager"", ""t2"".""location"", ""t2"".""linkedin"", ""t2"".""twitter_x"", ""t2"".""facebook"", ""t2"".""email"", ""t2"".""is_active"", ""t2"".""reports_to_id"", ""t2"".""birth_date"", ""t2"".""client"" FROM ""time_off"" AS ""t1"" INNER JOIN ""employees"" AS ""t2"" ON (""t1"".""employee_id"" = ""t2"".""id"") WHERE ((((""t2"".""is_active"" = 1) AND (date(""t1"".""start_date"") > date('now'))) AND ((((date(""t1"".""start_date"") >= '2025-03-01') AND (date(""t1"".""start_date"") <= '2025-03-31')) OR ((date(""t1"".""end_date"") >= '2025-03-01') AND (date(""t1"".""end_date"") <= '2025-03-31'))) OR ((date(""t1"".""start_date"") <= '2025-03-01') AND (date(""t1"".""end_date"") >= '2025-03-31')))) AND (LOWER(""t1"".""policy_type"") LIKE '%birthday%'))"
Which employees are assigned to the Marketing client?,"SELECT ""t1"".""full_name"", ""t1"".""client"" FROM ""employees"" AS ""t1"" WHERE (""t1"".""is_active"" AND (LOWER(""t1"".""client"") IN ('marketing')))"
How many employees do we have in each department?,"SELECT ""t1"".""department"", COUNT(DISTINCT ""t1"".""id"") AS ""total"" FROM ""employees"" AS ""t1"" WHERE ""t1"".""is_active"" GROUP BY ""t1"".""department"" ORDER BY COUNT(DISTINCT ""t1"".""id"") DESC"
Who are the active employees in the Sales department?,"SELECT ""t1"".""full_name"", ""t1"".""is_active"" FROM ""employees"" AS ""t1"" WHERE (""t1"".""is_active"" AND (LOWER(""t1"".""department"") IN ('sales')))"
List all employees who are managers in the Finance department.,"SELECT ""t1"".""id"", ""t1"".""updated_at"", ""t1"".""full_name"", ""t1"".""nationality"", ""t1"".""department"", ""t1"".""is_manager"", ""t1"".""location"", ""t1"".""linkedin"", ""t1"".""twitter_x"", ""t1"".""facebook"", ""t1"".""email"", ""t1"".""is_active"", ""t1"".""reports_to_id"", ""t1"".""birth_date"", ""t1"".""client"" FROM ""employees"" AS ""t1"" WHERE ((""t1"".""is_active"" AND (""t1"".""is_manager"" = 1)) AND (LOWER(""t1"".""department"") IN ('finance')))"
Which employees are based in remote locations?,"SELECT ""t1"".""full_name"", ""t1"".""location"" FROM ""employees"" AS ""t1"" WHERE (""t1"".""is_active"" AND (LOWER(""t1"".""location"") IN ('remote')))"
Which employees have birthdays between April and June?,"SELECT ""t1"".""full_name"", ""t1"".""birth_date"" FROM ""employees"" AS ""t1"" WHERE ((""t1"".""is_active"" AND ((CAST(strftime('%m', ""t1"".""birth_date""), 'INTEGER') > 4) OR ((CAST(strftime('%m', ""t1"".""birth_date""), 'INTEGER') = 4) AND (CAST(strftime('%d', ""t1"".""birth_date""), 'INTEGER') >= 1)))) AND ((CAST(strftime('%m', ""t1"".""birth_date""), 'INTEGER') < 6) OR ((CAST(strftime('%m', ""t1"".""birth_date""), 'INTEGER') = 6) AND (CAST(strftime('%d', ""t1"".""birth_date""), 'INTEGER') <= 30))))"
How many employees are assigned to each client?,"SELECT ""t1"".""client"", COUNT(DISTINCT ""t1"".""id"") AS ""total"" FROM ""employees"" AS ""t1"" WHERE ""t1"".""is_active"" GROUP BY ""t1"".""client"" ORDER BY COUNT(DISTINCT ""t1"".""id"") DESC"
List all employees in the HR department who are also managers.,"SELECT ""t1"".""id"", ""t1"".""updated_at"", ""t1"".""full_name"", ""t1"".""nationality"", ""t1"".""department"", ""t1"".""is_manager"", ""t1"".""location"", ""t1"".""linkedin"", ""t1"".""twitter_x"", ""t1"".""facebook"", ""t1"".""email"", ""t1"".""is_active"", ""t1"".""reports_to_id"", ""t1"".""birth_date"", ""t1"".""client"" FROM ""employees"" AS ""t1"" WHERE ((""t1"".""is_active"" AND (""t1"".""is_manager"" = 1)) AND (LOWER(""t1"".""department"") IN ('hr')))"
Who are our employees in the London office?,"SELECT ""t1"".""id"", ""t1"".""updated_at"", ""t1"".""full_name"", ""t1"".""nationality"", ""t1"".""department"", ""t1"".""is_manager"", ""t1"".""location"", ""t1"".""linkedin"", ""t1"".""twitter_x"", ""t1"".""facebook"", ""t1"".""email"", ""t1"".""is_active"", ""t1"".""reports_to_id"", ""t1"".""birth_date"", ""t1"".""client"" FROM ""employees"" AS ""t1"" WHERE (""t1"".""is_active"" AND (LOWER(""t1"".""location"") IN ('london')))"
Which employees report to managers in the Operations department?,"SELECT ""t1"".""id"", ""t1"".""full_name"", ""t1"".""department"", ""t1"".""is_active"", ""t1"".""reports_to_id"" FROM ""employees"" AS ""t1"" INNER JOIN ""employees"" AS ""t2"" ON (""t1"".""reports_to_id"" = ""t2"".""id"") WHERE ((""t1"".""is_active"" = 1) AND (""t2"".""is_manager"" = 1) AND (LOWER(""t2"".""department"") IN ('operations')))"
